coeff,time,N_C,PO(Te),PO(St)
0.1,0,9,0.09,0.29526718149241993
0.1,1,6,0.06,0.29522147603519244
0.1,2,6.0,0.06,0.29522147603519244
0.1,3,6.0,0.06,0.29522147603519244
0.1,4,6.0,0.06,0.29522147603519244
0.1,5,6.0,0.06,0.29522147603519244
0.1,6,6.0,0.06,0.29522147603519244
0.2,0,22,0.22,0.304342203569013
0.2,1,13,0.13,0.30508943178867276
0.2,2,12.0,0.12,0.3050570349301403
0.2,3,12.0,0.12,0.3050570349301403
0.2,4,12.0,0.12,0.3050570349301403
0.2,5,12.0,0.12,0.3050570349301403
0.2,6,12.0,0.12,0.3050570349301403
0.3,0,35,0.35,0.3235567938775336
0.3,1,26,0.26,0.3252078606571595
0.3,2,24.0,0.24,0.3253928270131876
0.3,3,24.0,0.24,0.3253928270131876
0.3,4,24.0,0.24,0.3253928270131876
0.3,5,24.0,0.24,0.3253928270131876
0.3,6,24.0,0.24,0.3253928270131876
