coeff,time,N_C,PO(Te),PO(St)
0.1,0,19,0.19,0.2735820130468223
0.1,1,9,0.09,0.27627442342188735
0.1,2,9.0,0.09,0.27627442342188735
0.1,3,9.0,0.09,0.27627442342188735
0.1,4,9.0,0.09,0.27627442342188735
0.1,5,9.0,0.09,0.27627442342188735
0.1,6,9.0,0.09,0.27627442342188735
0.2,0,35,0.35,0.28580974602860776
0.2,1,21,0.21,0.29005904442939145
0.2,2,16.0,0.16,0.2905817620123474
0.2,3,16.0,0.16,0.2905817620123474
0.2,4,16.0,0.16,0.2905817620123474
0.2,5,16.0,0.16,0.2905817620123474
0.2,6,16.0,0.16,0.2905817620123474
0.3,0,51,0.51,0.3032056053958835
0.3,1,42,0.42,0.30873696599452055
0.3,2,39.0,0.39,0.3104667438236163
0.3,3,39.0,0.39,0.3104667438236163
0.3,4,39.0,0.39,0.3104667438236163
0.3,5,39.0,0.39,0.3104667438236163
0.3,6,39.0,0.39,0.3104667438236163
