coeff,time,N_C,PO(Te),PO(St)
0.1,0,25,0.125,0.2722359519747462
0.1,1,16,0.08,0.2723837153432445
0.1,2,16.0,0.08,0.2723837153432445
0.1,3,16.0,0.08,0.2723837153432445
0.1,4,16.0,0.08,0.2723837153432445
0.1,5,16.0,0.08,0.2723837153432445
0.1,6,16.0,0.08,0.2723837153432445
0.2,0,62,0.31,0.2858165549051897
0.2,1,40,0.2,0.28716563754686997
0.2,2,36.0,0.18,0.2873384632106465
0.2,3,36.0,0.18,0.2873384632106465
0.2,4,36.0,0.18,0.2873384632106465
0.2,5,36.0,0.18,0.2873384632106465
0.2,6,36.0,0.18,0.2873384632106465
0.3,0,77,0.385,0.3161925837190415
0.3,1,66,0.33,0.316681233982013
0.3,2,64.0,0.32,0.3169446880323276
0.3,3,64.0,0.32,0.3169446880323276
0.3,4,64.0,0.32,0.3169446880323276
0.3,5,64.0,0.32,0.3169446880323276
0.3,6,64.0,0.32,0.3169446880323276
