coeff,time,N_C,PO(Te),PO(St)
0.0,0,0,0.0,0.29114789324280577
0.0,1,0,0.0,0.29114789324280593
0.0,2,0.0,0.0,0.29114789324280593
0.0,3,0.0,0.0,0.29114789324280593
0.0,4,0.0,0.0,0.29114789324280593
0.0,5,0.0,0.0,0.29114789324280593
0.0,6,0.0,0.0,0.29114789324280593
0.09999999999999999,0,14,0.14,0.29691579858271394
0.09999999999999999,1,11,0.11,0.29678778017793334
0.09999999999999999,2,10.0,0.1,0.2967296817254174
0.09999999999999999,3,10.0,0.1,0.2967296817254174
0.09999999999999999,4,10.0,0.1,0.2967296817254174
0.09999999999999999,5,10.0,0.1,0.2967296817254174
0.09999999999999999,6,10.0,0.1,0.2967296817254174
0.19999999999999998,0,24,0.24,0.3106672342966002
0.19999999999999998,1,18,0.18,0.3111154298489735
0.19999999999999998,2,17.0,0.17,0.3113318439989804
0.19999999999999998,3,17.0,0.17,0.3113318439989804
0.19999999999999998,4,17.0,0.17,0.3113318439989804
0.19999999999999998,5,17.0,0.17,0.3113318439989804
0.19999999999999998,6,17.0,0.17,0.3113318439989804
0.3,0,35,0.35,0.3319033942521713
0.3,1,29,0.29,0.33352438996921846
0.3,2,28.0,0.28,0.33388589164511806
0.3,3,28.0,0.28,0.33388589164511806
0.3,4,28.0,0.28,0.33388589164511806
0.3,5,28.0,0.28,0.33388589164511806
0.3,6,28.0,0.28,0.33388589164511806
