coeff,time,N_C,PO(Te),PO(St)
0.1,0,13,0.13,0.31028617544485165
0.1,1,7,0.07,0.31060762727023766
0.1,2,7.0,0.07,0.31060762727023766
0.1,3,7.0,0.07,0.31060762727023766
0.1,4,7.0,0.07,0.31060762727023766
0.1,5,7.0,0.07,0.31060762727023766
0.1,6,7.0,0.07,0.31060762727023766
0.2,0,23,0.23,0.32537032315597686
0.2,1,19,0.19,0.32663748484686755
0.2,2,19.0,0.19,0.32663748484686755
0.2,3,19.0,0.19,0.32663748484686755
0.2,4,19.0,0.19,0.32663748484686755
0.2,5,19.0,0.19,0.32663748484686755
0.2,6,19.0,0.19,0.32663748484686755
0.3,0,34,0.34,0.34592090993596036
0.3,1,27,0.27,0.34770045814145667
0.3,2,26.0,0.26,0.34778342176341775
0.3,3,26.0,0.26,0.34778342176341775
0.3,4,26.0,0.26,0.34778342176341775
0.3,5,26.0,0.26,0.34778342176341775
0.3,6,26.0,0.26,0.34778342176341775
