coeff,time,N_C,PO(Te),PO(St)
0.1,0,7,0.07,0.2974598389196325
0.1,1,4,0.04,0.29741413106958775
0.1,2,4.0,0.04,0.29741413106958775
0.1,3,4.0,0.04,0.29741413106958775
0.1,4,4.0,0.04,0.29741413106958775
0.1,5,4.0,0.04,0.29741413106958775
0.1,6,4.0,0.04,0.29741413106958775
0.2,0,21,0.21,0.3044847576916927
0.2,1,11,0.11,0.306241855548936
0.2,2,11.0,0.11,0.306241855548936
0.2,3,11.0,0.11,0.306241855548936
0.2,4,11.0,0.11,0.306241855548936
0.2,5,11.0,0.11,0.306241855548936
0.2,6,11.0,0.11,0.306241855548936
0.3,0,33,0.33,0.32217910231646996
0.3,1,25,0.25,0.32400031164125764
0.3,2,23.0,0.23,0.3246892572902771
0.3,3,23.0,0.23,0.3246892572902771
0.3,4,23.0,0.23,0.3246892572902771
0.3,5,23.0,0.23,0.3246892572902771
0.3,6,23.0,0.23,0.3246892572902771
