coeff,time,N_C,PO(Te),PO(St)
0.1,0,13,0.13,0.28059230363521354
0.1,1,3,0.03,0.28397751760458434
0.1,2,3.0,0.03,0.28397751760458434
0.1,3,3.0,0.03,0.28397751760458434
0.1,4,3.0,0.03,0.28397751760458434
0.1,5,3.0,0.03,0.28397751760458434
0.1,6,3.0,0.03,0.28397751760458434
0.2,0,32,0.32,0.2862537532770075
0.2,1,18,0.18,0.2900598697819145
0.2,2,12.0,0.12,0.29186867571042874
0.2,3,11.0,0.11,0.29184005035571653
0.2,4,11.0,0.11,0.29184005035571653
0.2,5,11.0,0.11,0.29184005035571653
0.2,6,11.0,0.11,0.29184005035571653
0.3,0,48,0.48,0.2965938264718132
0.3,1,34,0.34,0.3115095604226876
0.3,2,28.0,0.28,0.3115899307700107
0.3,3,26.0,0.26,0.3127492134915883
0.3,4,26.0,0.26,0.3127492134915883
0.3,5,26.0,0.26,0.3127492134915883
0.3,6,26.0,0.26,0.3127492134915883
