coeff,time,N_C,PO(Te),PO(St)
0.0,0,0,0.0,0.2793743670311667
0.0,1,0,0.0,0.27937436703116686
0.0,2,0.0,0.0,0.27937436703116686
0.0,3,0.0,0.0,0.27937436703116686
0.0,4,0.0,0.0,0.27937436703116686
0.0,5,0.0,0.0,0.27937436703116686
0.0,6,0.0,0.0,0.27937436703116686
0.09999999999999999,0,15,0.15,0.2853455556902338
0.09999999999999999,1,10,0.1,0.28583332847385745
0.09999999999999999,2,9.0,0.09,0.28568027112546196
0.09999999999999999,3,9.0,0.09,0.28568027112546196
0.09999999999999999,4,9.0,0.09,0.28568027112546196
0.09999999999999999,5,9.0,0.09,0.28568027112546196
0.09999999999999999,6,9.0,0.09,0.28568027112546196
0.19999999999999998,0,26,0.26,0.3018521746224628
0.19999999999999998,1,19,0.19,0.302734580893127
0.19999999999999998,2,19.0,0.19,0.302734580893127
0.19999999999999998,3,19.0,0.19,0.302734580893127
0.19999999999999998,4,19.0,0.19,0.302734580893127
0.19999999999999998,5,19.0,0.19,0.302734580893127
0.19999999999999998,6,19.0,0.19,0.302734580893127
0.3,0,38,0.38,0.326197722526792
0.3,1,31,0.31,0.3263932137773077
0.3,2,29.0,0.29,0.32652452970645973
0.3,3,29.0,0.29,0.32652452970645973
0.3,4,29.0,0.29,0.32652452970645973
0.3,5,29.0,0.29,0.32652452970645973
0.3,6,29.0,0.29,0.32652452970645973
