coeff,time,N_C,PO(Te),PO(St)
0.1,0,51,0.1275,0.2969517336679107
0.1,1,37,0.0925,0.29698014372509524
0.1,2,37.0,0.0925,0.29698014372509524
0.1,3,37.0,0.0925,0.29698014372509524
0.1,4,37.0,0.0925,0.29698014372509524
0.1,5,37.0,0.0925,0.29698014372509524
0.1,6,37.0,0.0925,0.29698014372509524
0.2,0,105,0.2625,0.3114261865801491
0.2,1,74,0.185,0.31227004190354646
0.2,2,72.0,0.18,0.3124403926304085
0.2,3,72.0,0.18,0.3124403926304085
0.2,4,72.0,0.18,0.3124403926304085
0.2,5,72.0,0.18,0.3124403926304085
0.2,6,72.0,0.18,0.3124403926304085
0.3,0,157,0.3925,0.3364896849271858
0.3,1,122,0.305,0.33712411536613274
0.3,2,114.0,0.285,0.3371474768908546
0.3,3,114.0,0.285,0.3371474768908546
0.3,4,114.0,0.285,0.3371474768908546
0.3,5,114.0,0.285,0.3371474768908546
0.3,6,114.0,0.285,0.3371474768908546
