coeff,time,N_C,PO(Te),PO(St)
0.0,0,0,0.0,0.28967123548392193
0.0,1,0,0.0,0.289671235483922
0.0,2,0.0,0.0,0.289671235483922
0.0,3,0.0,0.0,0.289671235483922
0.0,4,0.0,0.0,0.289671235483922
0.0,5,0.0,0.0,0.289671235483922
0.0,6,0.0,0.0,0.289671235483922
0.13333333333333333,0,13,0.13,0.2931416343062821
0.13333333333333333,1,6,0.06,0.29321993080375536
0.13333333333333333,2,6.0,0.06,0.29321993080375536
0.13333333333333333,3,6.0,0.06,0.29321993080375536
0.13333333333333333,4,6.0,0.06,0.29321993080375536
0.13333333333333333,5,6.0,0.06,0.29321993080375536
0.13333333333333333,6,6.0,0.06,0.29321993080375536
0.26666666666666666,0,33,0.33,0.3215288196324941
0.26666666666666666,1,29,0.29,0.32122726000577145
0.26666666666666666,2,29.0,0.29,0.32122726000577145
0.26666666666666666,3,29.0,0.29,0.32122726000577145
0.26666666666666666,4,29.0,0.29,0.32122726000577145
0.26666666666666666,5,29.0,0.29,0.32122726000577145
0.26666666666666666,6,29.0,0.29,0.32122726000577145
0.4,0,43,0.43,0.3690874102069053
0.4,1,42,0.42,0.3695208063227035
0.4,2,42.0,0.42,0.3695208063227035
0.4,3,42.0,0.42,0.3695208063227035
0.4,4,42.0,0.42,0.3695208063227035
0.4,5,42.0,0.42,0.3695208063227035
0.4,6,42.0,0.42,0.3695208063227035
